address,amount
0x546bbfce60876b6be43aa76acdf0e0c16c765d6e,15432.759555861096956
0x718f76a9601a5fed5b5f350a388bdc6819f8b60f,15266.697251078193283
0x728eb64be92ed45fe049da58645d0834bf8dc6d7,15228.091554422654501
0x35abfe783adc8a2e91a26b72ff8d758cfa50805f,15173.86779312322406
0xc793ee64e6ac6239c527fd041a78a8fcaa245e4f,15170.215906881862369
0x0b5fa155785fcb3ded40e6e138bededc9df1cfe9,15143.486322352559489
0x96a6e33c4783d240ceafcd75fe7a7d8c8be88e2c,14911.326825500641329
0x3d335600833f6d4075184ea5350a3f37f3b82ce1,14874.53411659607756
0x6407405d13c4e6bcd50f7d2d55096ea7c145b503,14592.1870634699467
0x711ac685d32ef2c694298e453e9595389eb4b567,14389.568248935675331
0xe627311229899b45ba356ecfe02bc137d62abb84,14384.741911799489626
0x71c9ff48a26da14438a4bf9103b73aab12a7b725,13883.53536248491121
0xd5df3f5022572f461459fc62dbbfaa54191fc551,13554.007356486889505
0xda469a6c78d12996895721fceba62e510b38faf3,13341.219502385564484
0x9f327969a2aead18c7d0424c537a05c597080261,13336.364572803178955
0x906a2f4c0e93ffaf862e0b56c0546a24be8adfce,13222.703509867862163
0x05f761aacd63e4e96bf98f0fe5614de5ba90856c,12409.326020747044323
0x80d47d88300b82e7ba1d8899a926f6b0f7e4d832,12357.772799562978689
0x42b79f4279edf1c404c664fcfbbc6fa3f1d803a9,12339.776207629487964
0xef5c67e6dbb6fd6cfb9c93adbc5801bcfc10c494,12126.138099182065418
0xafb0c3b0a2ab6da9eb81fc298f1bb42284729ca2,12013.173402382425391
0x13c28134b1e195382117cbbf524e624f48699906,11386.689931263891997
0xaa7fab01446dc9c985e0624c8c3046ac3ef5285a,11378.421367693195084
0xd4316cb7a56b5383d28c2a4aa5e9ffd48bbc482f,11353.445661061553324
0x495b2fd72a3562b22e8f93d1e7e673273cd7c5f2,10921.655790171383136
0xb84be5af8dc1b039531214c09170f650728b1ce9,10889.156204750773944
0x42ab397b9145eb55e78347088beb42422bba0ab7,10699.176186900996162
0x5243c3faf2fc7909082c857634ad2e61143add49,10339.269627298667561
0xabc094a7793ea77dec8f9de3af8de38c78a1dae7,9880.4028013356504842
0x314cb1eaa3759c0dfddbd4015ff0cd432e4c13db,9858.3822392174313472
0x342505d51d5db8163562d60c8429a444756c8efe,9819.2837529407533875
0xbb672bbe37c259e7d22b250d6f1310161eefaece,9745.5318101431701996
0xbea78aa447114a54189faf1fdaf01b8279f665a5,9697.3843875680149832
0xf52a30142877e3b7d30f3f6bb2c6bc55b8888710,9622.373649734199935
0x9b5546050984fe69ae9cfa57538c83282a3cbce2,9492.0753479004779971
0x508dd44ff3404e618d430d4562c3773b073a5ccc,9301.4679224073102295
0x3f098c5f5e0d5b2606eed243844d1392835c1411,9290.0611848524424806
0x542b55f6d981567fa6b20a72c3be07e6ac306f71,9209.0017960427991859
0x09076b74523efb5de8bb247a06b967ea6a64b1b1,9192.6241336114072781
0x75c88d2149e00a36dddb997faf674ec9b57aeb73,9191.6201241503166628
0xa88fe6fa01fcc112bb2164c6e37d63395b923e5f,9059.6007906515374572
0xb4b812b6b62822ef0e910b38b7f0761217d53d38,8675.4156175969348485
0x8366864ccd59c240c40543149dfc11542a318002,8516.3206619484840264
0xa08d1837f14d1644b5bd2b714377c89d3268cf40,8450.7909852112879616
0x45d618eb326694f77919a674a6e229a4551654ac,8270.0639757458137416
0x14cee93be114986c609f907c16de143938b0d403,7924.0038746139823964
0xe7d4191eb35870f5830b270dbc5f32ae64a9b78e,7892.9766929208725996
0x97d7213c0c131cc4f2d77a0acf8b56e37449493c,7862.4796847707867054
0x324143e84ad529960e28b63eb0de213ddd7b3d95,7767.6367965968977101
0x7210de104487649c5c3b3e1b873355a0bfe69fb7,7743.4766189556274299
0xab3627317c43d394eb171170f818153b976d28a3,7575.688706623923028
0x58ebbdb72cd8bcc07dc5f11ef91f8f67b4e9d054,7501.5904780749121782
0x9da6b5ad2fc347d4bf0a6e21bc69b7f5987a9153,7391.9288847048869151
0x9e72b4a743f29dbb6a40f00b175525ea3249e4d4,7265.3052891092295352
0x13c39b3e6e6159bc233fad90825f1f9f84fcb102,7172.9234279960150016
0x24255d06cfb9dbae774f9fb8697f7850f1d8a5f1,7068.822006577661739
0x5cf92efdeb3964c7d5474e2fba28e72b00463a38,7065.5990126897025516
0xa7fc352977ad66153bff8de90654bbcb73fec37b,6895.2999884993415086
0x4614865abd4748096b9aa924c4f8d2ed636b2df7,6827.684883103165186
0xf6495eb73fa5ee8e8d28bc30de1c198809d8c214,6712.0370324036208558
0x0a3e5705a2acfa47ae86122eeac7dced7dcdbb4a,6676.3862428683306271
0x603121410742328b0af3b0e4a066b29a9018fb1b,6481.9589786816940605
0x12d1991cabe742d25ffe637c2351f0e9edf0263e,6426.6126197382897992
0xf242543f5f493a2c2d3c49b6d0b0454be91c1ea6,6418.7101555384637194
0xbc03f695a1f2a03669fca05ee1e7d2ed702f1b28,6238.1032777333835039
0x9cab05482982875ef365c7030a294a16c9d01f8d,6221.5920672573552067
0x1c3b5f31b866d9a1c6a9e02fe3e1df1cd36e1fec,6031.4216742326758277
0x9a064a0ef88393662de416a59fa4cbe9f4900fc8,5977.0304573469014098
0x9fc3f9c82fd76df4677393efad2151e174a5391a,5953.1173762693574164
0x300db63d96b5b5061560e4f1ba7a04277ba14917,5936.4833555163287388
0x7db08d367c3319b419939f49993b748efb9e6790,5661.8393673037659505
0xbdf82513b977e1bd329d20dac10dbd1a9d86fd4c,5589.2714861168752067
0x1e22968fcd63bf083f067c8619c441a1b8e8f1bf,5552.5380201990712197
0xa08d5ea7bbbd0a199023f8fe5621a062f3e574e1,5190.8302173648160031
0x2efcce22a3f385da42c60f4064223c79cfa73d48,5119.3412291445527675
0x07b9fcf0306b1d4f90effb523c127ac90eb7a494,5096.6918808532313702
0x2fbd105df18e962d9139e906495ce590e39c747d,5094.4429791685042504
0x589a4d21780b2ecf0cfd9bc5faa9b5fca88d7a54,5037.4975590883886367
0x370c4495ce5c3cb62b4018541932a7b617666933,5004.5142023076199793
0x822fdf8db5ce69d8c2e2a644523cc8b3f51e9dd1,5000.0409344427488707
0x261167987f4cc52c8bd3f5766ed727d1b0340cdc,4905.3100587050241884
0x675d882d6cdcdd8b2eaea95f21fbfc6916af89f8,4905.1461653856832717
0x407425cb78339f5cf3930e2cb26153dd7fd1f739,4772.0877144058164675
0x2b2b21634e3c6fde241c9092e61ecd4dd6f5d6fe,4766.8648905124389847
0x7b92ecc28fc91f1875263a8b1bfc707bbbb3bfd9,4765.5154191438656307
0x915a4eaf3340b0328f57830d92b96732b0317824,4661.2498240585675571
0x8e19969e14cb17bc4fe528073cb3b1683cd74740,4590.4518221811411845
0x543504622a0b392911621c2a874e3d8f687cdf67,4501.1976487527755284
0xc4fd2c86c37decc5e1a44ec41fbc7f736d4a45ca,4492.5901878417990615
0x7c0f66ae50b611ad06865a8b5e44b7bf33a47887,4435.9955510133076787
0x77039399801f462b4ed13444a266b16355c471bf,4423.0430485477725307
0xb4ed1a39491c83219764152e4dc68944d5547947,4348.148196983346561
0x02d52dc45881d1f6b08d1ab9c196287624e5ffc9,4328.0758623862485156
0xd99c74b587373c77c7c9ad05f613baf3fe871434,4129.764113732758143
0x5bd1e9bea6128076370bbeb9292a103f1c277533,4112.944227320274092
0x5326888ade036224e878745e7e062057b80a9d12,4111.6482271048782316
0x4b27579cc89fe4ff4e36d81194e5688a3f2f2bd6,4030.524871399012565
0x914be65af0295ab44c8c0b4041fe29e00135b045,3988.3101944237905674
0x04f344269a9e349f9b9c123570bb78ed28a73e61,3958.5862722831468462
