address,amount
0x8db916fadb1c973d610346f0a1a8e4c81acf0390,500
0xcbfbcbfca74955b8ab75dec41f7b9ef36f329879,300
0xa363c861be084d6684476c279c84673a4e253474,1820
0x1464d4e3c815de3028572b850c6c34dfc57e9320,200
0x2ee0485f71764bcd2062a84d9455688c581b90f8,4414
0x962d14e98cfdcc72ba89943f72ba24d435ec2a68,1856
0x302ae9d5bdd8f5125b1182cdd966ff4eed3e3acf,200
0x9e1e2bc60e0fdc756704d18346d511bba7543e9a,600
0xda22919e01e249ba4c96dba46bee29e4981835fc,5280
0x333601a803cac32b7d17a38d32c9728a93b422f4,500
0x10dec36b4ac9d3b60490dfe2799881287d4a74cc,400
0xe01c54a0b4615a49a910cb8a26516c0c879a480f,805
0xcddf6531cd48936fc850e51b95a3d3d966beb43d,1129
0x568b9bfff4a3a7c7351db84ec2f4ad4ca147a1d0,100
0x47d25240311c444e4534a968c9f0f82d262ae0b4,300
0x8b80755c441d355405ca7571443bb9247b77ec16,4870
0xceed9585854f12f81a0103861b83b995a64ad915,615
0x13489a7f09ea0dfe9fdc41390cfbb57f4b6ff0b3,200
0xbaaea72417f4dc3e0f52a1783b0913d0f3516634,200
0x32a6f3de4d2610ec943b6c20ac3341b30dc18d23,200
0xf6c762d6edc268e644e6629cc1e5381885ede851,1299
0xb5f1fed7e87af7544c565ecdc3db40faf43fdc78,649
0x4b70d04124c2996de29e0caa050a49822faec6cc,888
0xa5d224b43eab837aa2ee9c6ed727f1613f301a5e,1000
0x12239fcdff8cd48c24661d3c4243ce33ceb2e273,7512
0xe943ca883ef3294e0fc55a1a14591abead1b5927,200
0xfaab77343690ea38e9eb4a39950395406e1a1d7c,1335
0x795050decc0322567c4f0098209d4edc5a69b9d0,1940
0xa2fe1d4145443ebc027f15c9f7ca27f7e9fd5f33,600
0x229c6967ad9e600db2ac26cbab6462889561aac8,1000
0xd5c0d17ccb9071d27a4f7ed8255f59989b9aee0d,210
0x1358155a15930f89ebc787a34eb4ccfd9720bc62,533
0xdc0753f6b3cc6034317b73c10413c19958d36ed1,7784
0x4888c0030b743c17c89a8af875155cf75dcfd1e1,230
0x538c4f2afa012911851dadf0655cb61377e7a8eb,2346
